x,y,Total number of holdings (c288),Total Area (c1),Total Crops & Fallow (c35),Rough Grazing Area (c7),Woodland on holding (c8)
178000,26000,1.7,77.7,2.4,0,2.9
178000,28000,3.3,155.4,4.8,6.1,5.7
178000,30000,12.2,334.6,8.8,2.7,2.4
178000,32000,5.2,178,4,2.3,2.4
178000,34000,15.7,212,3.8,2.9,8.2
178000,36000,8.8,269.5,8.7,4.2,12
178000,38000,15,354.3,10.3,6.5,16.3
178000,40000,15.8,325.6,8.1,11.3,9.7
178000,42000,12.3,286.7,7.6,8.7,8.6
178000,44000,21.1,420,10.5,9.3,8.1
178000,46000,15.8,315,7.8,7,6.1
178000,48000,17.3,400.3,10.6,7.5,7.9
178000,50000,13.9,276.5,7.1,0,4.4
178000,52000,18.5,368.6,9.5,0,5.8
178000,54000,18.5,368.6,9.5,0,5.8
178000,56000,8.4,255.6,8.5,68.1,2.1
178000,58000,5,217.9,8.1,0,0.9
178000,60000,7.6,306,10.3,15.2,0.1
178000,206000,2.9,255.4,11.8,100,3.2
178000,208000,3,283.4,13.3,0,4.9
178000,210000,0.7,75.4,5.1,2.5,1.6
178000,224000,3.5,188.2,6.3,5.9,0.6
178000,226000,7.2,299,5.7,86.5,0.3
178000,228000,7.2,299,5.7,86.5,0.3
178000,230000,3.6,149.5,5.7,0,0.2
180000,20000,5.7,218.7,3.8,51.9,7.9
180000,22000,2.8,109.4,1.9,26,3.9
180000,30000,0,0,0,0,0
180000,32000,0,0,0,0,0
180000,34000,8.1,258.2,9.1,6.3,16.2
180000,36000,8.1,258.2,9.1,6.3,16.2
180000,38000,8.9,167,3,0,7.7
180000,40000,13.7,298.6,7.2,0,10.3
180000,42000,12.3,286.7,7.6,2.2,8.6
180000,44000,6,163.4,5.5,11.1,2.1
180000,46000,21.1,420,10.5,9.3,8.1
180000,48000,14.8,406.2,11.2,5.2,8.8
180000,50000,8.6,392.4,12,11.6,9.5
180000,52000,10.8,394.6,11.6,10.3,6.9
180000,54000,7.7,425,12.8,17.8,2.8
180000,56000,7.1,373.2,11.6,13.3,2.3
180000,58000,5,217.9,8.1,0,0.9
180000,60000,3.8,153,5.2,7.6,0.1
180000,62000,0,0,0,0,0
180000,202000,0.9,66.5,2.9,2.3,0
180000,204000,3.4,265.9,11.7,9.1,0
180000,206000,3.4,270.2,7.4,61.5,2.7
180000,208000,4,354.6,20.3,5,5.9
180000,210000,2.9,301.7,20.4,10,6.4
180000,222000,0,0,0,0,0
180000,224000,6.8,453.7,13.9,23.8,2
180000,226000,7,386.8,11.2,95.7,2.2
180000,228000,7.2,319.8,8.4,0,2.4
180000,230000,9,318.3,8.3,41.4,0.3
180000,232000,2.3,79.6,2.1,0,0.1
182000,32000,0,0,0,0,0
182000,34000,2.7,86.1,3,2.1,5.4
182000,38000,8.9,167,3,4.6,7.7
182000,40000,15,310.4,6.8,4.6,12
182000,42000,12.2,306.8,9.3,0,6.4
182000,44000,0,0,0,0,0
182000,46000,6,279.3,5,5.3,10.4
182000,48000,5.1,291.7,9.5,2.9,16.4
182000,50000,7.3,389.8,12.5,6.7,18.8
182000,52000,7.3,389.8,12.5,6.7,18.8
182000,54000,3.9,212.5,6.4,8.9,1.4
182000,56000,7.7,425,12.8,17.8,2.8
182000,58000,7,356.6,11.9,12.6,5.4
182000,60000,6.9,297.1,10.7,11.3,4
182000,62000,3.8,153,5.2,7.6,0.1
182000,206000,4.7,327.7,17.1,0,3.3
182000,208000,7.1,453.9,23.5,0,3.3
182000,210000,5,278.6,16,26.7,2.8
182000,212000,2.3,112.9,6.9,0,1.1
182000,222000,3.3,193.8,4.5,6.9,2.7
182000,224000,5,323.8,9.2,15.4,2.3
182000,226000,7.8,400.2,9.5,12.8,2.1
182000,228000,8.6,323.9,7.6,41.4,1.4
182000,230000,9,318.3,8.3,41.4,0.3
182000,232000,4.5,159.1,4.2,0,0.2
184000,30000,1.9,72.9,2.3,2.9,0.5
184000,32000,6.2,225.8,6,6.8,3.9
184000,34000,8.7,305.6,7.4,15.4,6.8
184000,36000,8.7,305.6,7.4,15.4,6.8
184000,38000,6,272.7,8.3,17.5,5.2
184000,40000,3.1,71.7,1.9,0,2.1
184000,42000,6.6,313.1,10.2,3.7,4.9
184000,44000,4.5,209.4,3.7,1.8,7.8
184000,46000,6.2,304.8,7.4,5.1,9
184000,48000,6,333.2,9,4.4,19.2
184000,50000,6,387.2,13.1,1.8,28
184000,52000,6.7,377.1,12,4.2,23.2
184000,54000,7.7,425,12.8,17.8,2.8
184000,56000,7.7,425,12.8,17.8,2.8
184000,58000,7,356.6,11.9,12.6,5.4
184000,60000,8.4,369.2,13.4,13.2,6
184000,62000,10.6,450.1,15.8,11.3,4.1
184000,64000,3.7,191.1,6.9,0,3.9
184000,66000,5.5,286.7,10.3,0,5.8
184000,68000,3.3,156.2,6.7,2.6,1.9
184000,70000,4.3,181.8,9.9,7.9,0
184000,72000,4.5,208.9,9,13.4,0.2
184000,74000,2.3,104.5,4.5,6.7,0.1
184000,76000,2.3,104.5,4.5,6.7,0.1
184000,200000,1.1,82.4,3.1,1.4,0.1
184000,202000,3.3,247.1,6.1,100,0.4
184000,206000,4.7,327.7,17.1,0,3.3
184000,208000,7.9,471,24.1,25.3,2.2
184000,210000,8,396,18,0,1.1
184000,212000,3.5,131.4,3.4,72.5,0.6
184000,218000,1.8,108.5,2.8,14.2,3.1
184000,220000,3.6,217,5.7,28.3,6.2
184000,222000,4.9,290.7,6.7,106.9,4
184000,224000,1.6,96.9,2.2,3.5,1.3
184000,226000,6.4,302.4,4.7,106.9,0.7
184000,228000,8.8,360.8,8.8,6.9,0.6
184000,230000,8.1,347.6,10.7,0,1.3
184000,232000,8.1,347.6,10.7,0,1.3
186000,32000,5.6,218.8,7,8.7,1.5
186000,34000,5.6,218.8,7,8.7,1.5
186000,36000,7.5,291.7,9.3,11.7,2
186000,38000,6.7,432.6,16.2,32.3,5.8
186000,40000,2,171.6,7,3.8,0.2
186000,42000,3,257.4,10.5,1.9,0.3
186000,44000,4,343.2,14.1,1.9,0.4
186000,46000,5.8,346.3,12.1,8.3,5
186000,48000,6.5,382.8,14.2,3.7,10.4
186000,50000,8.9,346.8,8.9,11.2,8.8
186000,52000,9.3,362,9.4,14.6,8.1
186000,54000,9.8,411.8,11.3,23.1,5.4
186000,56000,9.1,416.2,11.8,21.3,4.5
186000,58000,7,356.6,11.9,12.6,5.4
186000,60000,6.2,288.2,11,7.4,8
186000,62000,7.4,329,10.4,1.9,8.2
186000,64000,1.8,95.6,3.4,0,1.9
186000,66000,7.3,382.3,13.7,0,7.8
186000,68000,5.7,242.3,13.1,10.5,0
186000,70000,6.5,286.2,14.3,14.6,0.1
186000,72000,9.1,417.9,17.9,26.7,0.3
186000,74000,2.3,104.5,4.5,6.7,0.1
186000,200000,2.2,164.7,6.1,1.4,0.3
186000,202000,2.2,164.7,6.1,0,0.3
186000,204000,0,0,0,0,0
186000,206000,2.5,145.3,7.3,0,0.5
186000,208000,7.9,364.7,12.5,3.7,1.9
186000,210000,8.3,348.1,7.3,24.8,2.1
186000,212000,9.1,312,8.4,12.4,0.5
186000,214000,11.3,430.3,7.7,10.2,11.1
186000,216000,7.5,334.3,7.3,22.2,2
186000,218000,7.4,384.1,9.3,39.4,7.2
186000,220000,7.3,433.9,11.3,56.7,12.4
186000,222000,6.8,399.2,6.7,206.9,7.1
186000,224000,6.6,387.6,9,13.8,5.4
186000,226000,7.1,391.5,9.1,13.8,4.2
186000,228000,4,265.1,7.9,28.6,0
186000,230000,7.3,376.9,13.1,0,2.2
186000,232000,7.3,376.9,13.1,0,2.2
188000,36000,1.9,72.9,2.3,2.9,0.5
188000,38000,6.7,432.6,16.2,22.5,5.8
188000,40000,5.9,345.3,14,0.2,4.3
188000,42000,1,85.8,3.5,0,0.1
188000,44000,4.3,276.5,10.8,0,2.4
188000,46000,6.7,381.3,14.6,13.1,4.5
188000,48000,7.2,372.7,13.2,9.4,5.6
188000,50000,6.1,268.7,8.1,8.9,5.5
188000,52000,4.4,173.4,4.5,5.6,4.4
188000,54000,10.4,407.5,10.9,24.8,6.2
188000,56000,10.4,407.5,10.9,24.8,6.2
188000,58000,9.4,377.7,10.9,20.5,6.7
188000,60000,7.4,329,10.4,3.7,8.2
188000,62000,6.5,277.4,7.3,0,6.3
188000,64000,6.2,280.5,8.3,0,6.2
188000,66000,7.3,382.3,13.7,0,7.8
188000,68000,4.6,271.9,13,9.1,2.6
188000,70000,6.4,422.7,19.4,12.9,5.2
188000,72000,9.1,417.9,17.9,26.7,0.3
188000,74000,7.1,326.1,14.2,19.6,0.8
188000,76000,2.4,110.8,4.9,6.5,0.4
188000,194000,0,0,0,0,0
188000,196000,0,0,0,0,0
188000,198000,2.7,232.5,3.1,84.6,1
188000,200000,4,303.7,3.1,183.3,4.1
188000,202000,0,0,0,0,0
188000,204000,0,0,0,0,0
188000,206000,6,190.8,14.8,18.8,0
188000,208000,6.7,264.8,6.7,7.3,1.7
188000,210000,8.3,348.1,7.3,37.2,2.1
188000,212000,8.8,324,8,12.4,1
188000,214000,9.5,382.3,7.6,62.9,7.6
188000,216000,7.8,320.7,8.1,50.8,2.2
188000,218000,8.2,391.7,7.2,50.2,8.5
188000,220000,7.3,433.9,11.3,42.5,12.4
188000,222000,6.2,369.3,6,135.8,6.1
188000,224000,5.9,347.8,6.3,10.8,4
188000,226000,5.6,280.5,7.8,0,0
188000,228000,4.8,388.5,12.7,32.7,0.2
188000,230000,7.3,376.9,13.1,0,2.2
188000,232000,7.5,362,12.3,0,3.4
188000,234000,7.9,363.3,11.5,94.7,5.8
188000,236000,10.3,483.5,11.5,21.4,1
188000,238000,8.5,358.3,7.4,64.1,0.6
188000,240000,2.8,119.4,2.5,21.4,0.2
190000,36000,1.8,79.3,2.1,2.7,0.9
190000,38000,7.2,317.4,8.3,10.7,3.5
190000,40000,7.9,384.1,13.5,5.7,4.3
190000,42000,6.4,338.1,14,0.2,3.8
190000,44000,8.8,356.2,13.8,3.1,2.4
190000,46000,6.7,381.3,14.6,9.9,4.5
190000,48000,6.7,381.3,14.6,9.9,4.5
190000,50000,8.9,346.8,8.9,11.2,8.8
190000,52000,8.9,346.8,8.9,11.2,8.8
190000,54000,9.7,377.1,9.9,18,7.5
190000,56000,7.8,305.6,8.1,18.6,4.7
190000,58000,7,286.8,7.6,6.2,5.8
190000,60000,8.7,369.8,9.7,0,8.4
190000,62000,6.5,277.4,7.3,0,6.3
190000,64000,8.7,369.8,9.7,0,8.4
190000,66000,8,376,11.7,134,8.1
190000,68000,6.5,386.2,16.3,6.4,3.4
190000,70000,6.5,386.2,16.3,6.4,3.4
190000,72000,8.9,419.8,17.9,19.4,1.5
190000,74000,7.3,332.4,14.6,19.4,1.1
190000,76000,7.3,332.4,14.6,19.4,1.1
190000,194000,0,0,0,0,0
190000,196000,0,0,0,0,0
190000,198000,5.8,487.7,16,0,5.4
190000,200000,7.3,555.9,26.4,0,15.5
190000,202000,0,0,0,0,0
190000,204000,0,0,0,0,0
190000,206000,11.8,493.5,12.9,4,1.4
190000,208000,7.2,361.5,6.3,0,5.7
190000,210000,7.2,361.5,6.3,0,5.7
190000,212000,7.2,361.5,6.3,27.5,5.7
190000,214000,7.6,334.3,7.6,27.5,4.1
190000,216000,8,307.1,8.8,0,2.5
190000,218000,9.1,349.4,6.3,0,4.6
190000,220000,9.1,349.4,6.3,0,4.6
190000,222000,6.8,262,0,150.5,3.5
190000,224000,5.9,347.8,4.7,132.5,4
190000,226000,5.7,297.3,7.5,27.8,1
190000,228000,6.7,379.8,13,0,1.7
190000,230000,7.3,376.9,9.8,100,2.2
190000,232000,7,386,11.1,0,11.3
190000,234000,6.8,477.8,11.2,142.7,8.6
190000,236000,7.5,501,16.2,71,1.8
190000,238000,11.3,477.7,9.9,85.4,0.8
190000,240000,5.6,238.8,5,42.7,0.4
192000,38000,5.4,238,6.2,8,2.6
192000,40000,7.2,317.4,8.3,10.7,3.5
192000,42000,7.2,317.4,8.3,10.7,3.5
192000,44000,9.4,413.2,12.2,7.6,1.6
192000,46000,7.2,391.4,12.8,4.6,3.2
192000,48000,8.5,328.7,11.8,1.6,3.2
192000,50000,6.9,272.8,9.6,6.6,4.7
192000,52000,14.4,328.4,9.1,0,9.7
192000,54000,3.6,82.1,2.3,0,2.4
192000,56000,6.3,135.2,2.8,0,2.4
192000,58000,8.7,369.8,9.7,57.3,8.4
192000,60000,8.7,369.8,9.7,0,8.4
192000,62000,8.7,369.8,9.7,0,8.4
192000,64000,8.7,369.8,9.7,0,8.4
192000,66000,8.7,369.8,9.7,171.8,8.4
192000,68000,6.6,349.7,6.6,147,1.6
192000,70000,6.6,349.7,13.2,0,1.6
192000,72000,6.6,349.7,13.2,0,1.6
192000,74000,0,0,0,0,0
192000,76000,3,130,5.8,5.1,0.8
192000,78000,0,0,0,0,0
192000,80000,2.4,156.6,6.4,2.4,0.3
192000,194000,0,0,0,0,0
192000,196000,0,0,0,0,0
192000,198000,6.8,369.7,9.8,0,4.7
192000,200000,6.8,499,17.6,28.5,5.4
192000,202000,0,0,0,0,0
192000,204000,1.8,90.4,1.6,0,1.4
192000,206000,6.9,346.7,7.4,3.8,4.8
192000,208000,7.1,331.8,7.6,6.9,5.9
192000,210000,8.6,309,8.4,20.8,5
192000,212000,18,556.5,23.3,21.4,4.3
192000,214000,4.8,209,4.2,4,1.6
192000,216000,10.5,411.9,8.3,8,2.6
192000,218000,9.1,349.4,6.3,0,4.6
192000,220000,9.1,349.4,6.3,0,4.6
192000,222000,9.1,349.4,6.3,0,4.6
192000,224000,7.9,360.2,7.5,32.5,4
192000,226000,5.7,297.3,7.5,25.4,1
192000,228000,8.4,336,9.2,35.6,2.1
192000,230000,8.8,308.9,6.2,0,4.3
192000,232000,7.5,377.2,9.4,0,8.5
192000,234000,10,354.7,7.1,27,5.9
192000,236000,11.5,342,7.6,56.3,2.2
192000,238000,11.5,420.1,9.8,72,1.3
194000,40000,5.4,238,6.2,8,2.6
194000,42000,8.9,380.7,10,2.7,3.3
194000,44000,10.6,444.1,11.8,11.3,3.1
194000,46000,6.1,357.4,9.7,1.6,2.7
194000,48000,4.5,313.3,8.4,1.1,3.5
194000,50000,12,324.6,8.9,0.4,8.1
194000,52000,10.8,246.3,6.8,0,7.3
194000,54000,3.6,82.1,2.3,0,2.4
194000,56000,2.7,53.1,0.5,0,0
194000,58000,10.8,212.3,0.9,87.1,0
194000,60000,10.9,343.4,3.6,246.7,5.5
194000,62000,8.7,368.5,9.2,114.5,8.4
194000,64000,8.8,365.8,8.3,0,8.3
194000,66000,8.8,367.1,6.8,107.5,8.3
194000,68000,6.8,373.4,9.2,100,3.1
194000,70000,6.8,373.4,11.8,0,3.1
194000,72000,6.8,373.4,11.8,0,3.1
194000,74000,8.4,416.6,18,11.4,2
194000,76000,7.2,338.3,14.9,11.4,1.9
194000,78000,4.8,313.2,12.7,4.8,0.7
194000,192000,0,0,0,0,0
194000,194000,1.3,121.1,6.1,0,0.1
194000,196000,3.8,363.3,18.2,17.4,0.4
194000,198000,5.5,253.5,6.7,0,4.2
