SQUARE,YEAR,ID,BROAD_HABITAT,BROAD_HABITAT_NAME,AREA,LAND_CLASS90,COUNTRY,COUNTY,EZ_DESC_07
EYAJMO,1978,45,4,Arable and Horticulture,24261.06821,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,46,1,Broadleaved Mixed and Yew Woodland,3751.452248,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,47,6,Neutral Grassland,90395.98434,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,48,1,Broadleaved Mixed and Yew Woodland,3819.97058,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,49,5,Improved Grassland,55425.56327,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,50,4,Arable and Horticulture,78114.22024,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,51,17,Urban,9974.17465,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,52,4,Arable and Horticulture,22379.33259,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,53,5,Improved Grassland,7531.767948,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,54,4,Arable and Horticulture,1404.978679,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,55,5,Improved Grassland,15150.67737,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,56,4,Arable and Horticulture,28733.54797,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,57,5,Improved Grassland,9736.341257,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,58,17,Urban,4941.512761,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,59,5,Improved Grassland,9979.887252,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,60,5,Improved Grassland,6982.693304,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,61,6,Neutral Grassland,2539.32969,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,62,4,Arable and Horticulture,39943.04984,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,63,5,Improved Grassland,35413.83014,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,64,3,Boundary and Linear Features,12062.52402,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,65,3,Boundary and Linear Features,4193.380701,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,415,4,Arable and Horticulture,365.3682741,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
YDGWZL,1978,66,6,Neutral Grassland,15453.84855,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,67,5,Improved Grassland,8472.81917,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,68,6,Neutral Grassland,20642.82971,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,69,6,Neutral Grassland,1785.612339,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,70,5,Improved Grassland,23020.64286,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,71,3,Boundary and Linear Features,13026.51287,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,72,6,Neutral Grassland,50012.37951,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,73,5,Improved Grassland,30173.99957,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,74,1,Broadleaved Mixed and Yew Woodland,6424.176973,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,75,6,Neutral Grassland,65068.91423,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,76,3,Boundary and Linear Features,7353.705567,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,77,3,Boundary and Linear Features,439.5358101,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,78,3,Boundary and Linear Features,99.85877448,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,79,3,Boundary and Linear Features,2039.86284,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,80,17,Urban,2437.298421,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,81,6,Neutral Grassland,129445.2602,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,82,6,Neutral Grassland,13022.27709,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,83,6,Neutral Grassland,1383.030813,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,84,6,Neutral Grassland,7213.022612,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,85,1,Broadleaved Mixed and Yew Woodland,7723.184616,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,86,3,Boundary and Linear Features,13987.3838,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,87,5,Improved Grassland,37912.60654,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,88,6,Neutral Grassland,54541.45609,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,89,3,Boundary and Linear Features,3032.699839,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,90,6,Neutral Grassland,9384.071416,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,91,6,Neutral Grassland,232419.1531,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,92,5,Improved Grassland,12480.0413,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,93,5,Improved Grassland,8567.529312,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,94,5,Improved Grassland,25948.26136,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,95,17,Urban,6984.736455,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,96,6,Neutral Grassland,5128.402227,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,97,5,Improved Grassland,8803.227825,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,98,5,Improved Grassland,21862.92284,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,99,4,Arable and Horticulture,37914.12445,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,100,8,Acid Grassland,36798.26486,6,ENG,Devon,Westerly lowlands (England)
YDGWZL,1978,101,4,Arable and Horticulture,78997.84604,6,ENG,Devon,Westerly lowlands (England)
RXBGEW,1978,102,1,Broadleaved Mixed and Yew Woodland,21603.44451,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
RXBGEW,1978,103,12,Bog,85220.10901,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
RXBGEW,1978,104,8,Acid Grassland,13622.53044,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
RXBGEW,1978,105,8,Acid Grassland,1849.127585,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
RXBGEW,1978,106,5,Improved Grassland,109571.6167,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
RXBGEW,1978,107,5,Improved Grassland,2116.332168,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
RXBGEW,1978,108,4,Arable and Horticulture,36527.75806,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
RXBGEW,1978,109,4,Arable and Horticulture,142610.2563,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
RXBGEW,1978,110,4,Arable and Horticulture,72347.36989,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
RXBGEW,1978,111,4,Arable and Horticulture,32634.65576,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
RXBGEW,1978,112,4,Arable and Horticulture,43366.81302,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
RXBGEW,1978,113,5,Improved Grassland,22232.92413,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
RXBGEW,1978,114,4,Arable and Horticulture,14435.91868,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
RXBGEW,1978,115,4,Arable and Horticulture,3461.725925,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
RXBGEW,1978,116,4,Arable and Horticulture,13929.89122,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
RXBGEW,1978,117,3,Boundary and Linear Features,5877.106623,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
RXBGEW,1978,118,17,Urban,526.3178873,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
RXBGEW,1978,119,5,Improved Grassland,278789.1869,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
RXBGEW,1978,120,6,Neutral Grassland,40138.49955,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
RXBGEW,1978,121,4,Arable and Horticulture,59139.41566,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
FMQFWX,1978,122,22,Sea,26579.53963,7,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
FMQFWX,1978,123,5,Improved Grassland,11256.4114,7,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
FMQFWX,1978,124,4,Arable and Horticulture,276181.6202,7,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
FMQFWX,1978,125,5,Improved Grassland,6939.379239,7,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
FMQFWX,1978,126,6,Neutral Grassland,48674.17546,7,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
FMQFWX,1978,127,6,Neutral Grassland,7501.798859,7,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
FMQFWX,1978,128,6,Neutral Grassland,35346.4464,7,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
FMQFWX,1978,129,5,Improved Grassland,9445.689648,7,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
FMQFWX,1978,130,1,Broadleaved Mixed and Yew Woodland,5643.139632,7,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
FMQFWX,1978,131,5,Improved Grassland,33419.42422,7,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
FMQFWX,1978,132,5,Improved Grassland,25819.12811,7,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
FMQFWX,1978,133,18,Supra-littoral Rock,102236.9215,7,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
FMQFWX,1978,134,22,Sea,148027.0047,7,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
FMQFWX,1978,135,18,Supra-littoral Rock,48910.87942,7,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
FMQFWX,1978,136,1,Broadleaved Mixed and Yew Woodland,14233.81267,7,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
FMQFWX,1978,137,17,Urban,7640.28063,7,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
FMQFWX,1978,138,5,Improved Grassland,192145.3483,7,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
KMOUQH,1978,139,21,Littoral Sediment,2558.381639,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,140,22,Sea,169599.5847,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,141,22,Sea,7883.310431,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,142,22,Sea,122829.1958,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,143,22,Sea,93294.51452,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,144,3,Boundary and Linear Features,22401.49886,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,145,3,Boundary and Linear Features,8186.216091,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,146,0,No Allocation,15316.74912,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,147,17,Urban,2784.746983,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,148,4,Arable and Horticulture,4426.442622,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,149,5,Improved Grassland,31275.75418,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,150,5,Improved Grassland,742.5682538,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,151,4,Arable and Horticulture,21114.23218,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,152,4,Arable and Horticulture,406.3325195,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,153,5,Improved Grassland,36140.38845,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,154,5,Improved Grassland,44475.47714,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,155,17,Urban,96763.21136,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,156,17,Urban,973.8623142,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,157,5,Improved Grassland,23352.18889,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,158,5,Improved Grassland,25602.83999,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,159,3,Boundary and Linear Features,1519.115529,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,160,4,Arable and Horticulture,1883.211638,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,161,3,Boundary and Linear Features,2379.774492,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,162,5,Improved Grassland,44077.83497,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,163,17,Urban,1825.797083,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,164,4,Arable and Horticulture,31910.75197,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,165,4,Arable and Horticulture,43097.22358,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,166,17,Urban,15450.73562,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,167,1,Broadleaved Mixed and Yew Woodland,12749.54172,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,168,1,Broadleaved Mixed and Yew Woodland,7923.881324,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,169,5,Improved Grassland,25720.06946,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,170,3,Boundary and Linear Features,6303.148322,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,171,1,Broadleaved Mixed and Yew Woodland,14893.10903,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,172,4,Arable and Horticulture,39122.03709,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,413,17,Urban,10483.72547,8,ENG,Devon,Westerly lowlands (England)
KMOUQH,1978,414,5,Improved Grassland,10531.1467,8,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,173,4,Arable and Horticulture,3436.454202,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,174,3,Boundary and Linear Features,38232.7539,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,175,17,Urban,536.8100487,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,176,21,Littoral Sediment,59461.4592,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,177,17,Urban,3878.700713,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,178,18,Supra-littoral Rock,447.5488781,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,179,21,Littoral Sediment,443.6843282,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,180,22,Sea,75294.3262,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,181,17,Urban,18684.27011,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,182,17,Urban,56247.67895,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,183,5,Improved Grassland,39623.46126,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,184,17,Urban,12472.94601,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,185,16,Inland Rock,1613.747443,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,186,4,Arable and Horticulture,24754.38952,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,187,4,Arable and Horticulture,53654.56955,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,188,17,Urban,2492.971851,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,189,5,Improved Grassland,38589.89672,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,190,5,Improved Grassland,14455.48291,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,191,6,Neutral Grassland,86402.09991,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,192,13,Standing Open Waters and Canals,259.8065033,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,193,4,Arable and Horticulture,38319.05009,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,194,4,Arable and Horticulture,30074.29292,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,195,4,Arable and Horticulture,23093.04513,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,196,5,Improved Grassland,21285.41,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,197,4,Arable and Horticulture,3993.032748,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,198,4,Arable and Horticulture,18582.31397,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,199,4,Arable and Horticulture,2336.530239,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,200,5,Improved Grassland,77313.22147,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,201,5,Improved Grassland,33694.6631,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,202,4,Arable and Horticulture,5526.308525,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,203,5,Improved Grassland,58938.83002,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,204,6,Neutral Grassland,37610.93793,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,205,17,Urban,4617.731627,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,206,6,Neutral Grassland,94018.0015,7,ENG,Devon,Westerly lowlands (England)
KKWKFZ,1978,207,4,Arable and Horticulture,19612.77253,7,ENG,Devon,Westerly lowlands (England)
MZKVCB,1978,208,4,Arable and Horticulture,3065.838208,7,ENG,Isle of Wight Unitary Authority,Westerly lowlands (England)
MZKVCB,1978,209,8,Acid Grassland,7803.398682,7,ENG,Isle of Wight Unitary Authority,Westerly lowlands (England)
MZKVCB,1978,210,8,Acid Grassland,3321.872506,7,ENG,Isle of Wight Unitary Authority,Westerly lowlands (England)
MZKVCB,1978,211,3,Boundary and Linear Features,12736.30801,7,ENG,Isle of Wight Unitary Authority,Westerly lowlands (England)
MZKVCB,1978,212,22,Sea,154103.893,7,ENG,Isle of Wight Unitary Authority,Westerly lowlands (England)
MZKVCB,1978,213,18,Supra-littoral Rock,103816.908,7,ENG,Isle of Wight Unitary Authority,Westerly lowlands (England)
MZKVCB,1978,214,7,Calcareous Grassland,222315.9253,7,ENG,Isle of Wight Unitary Authority,Westerly lowlands (England)
MZKVCB,1978,215,1,Broadleaved Mixed and Yew Woodland,117763.311,7,ENG,Isle of Wight Unitary Authority,Westerly lowlands (England)
MZKVCB,1978,216,16,Inland Rock,1060.095081,7,ENG,Isle of Wight Unitary Authority,Westerly lowlands (England)
MZKVCB,1978,217,16,Inland Rock,4280.483993,7,ENG,Isle of Wight Unitary Authority,Westerly lowlands (England)
MZKVCB,1978,218,16,Inland Rock,971.8530359,7,ENG,Isle of Wight Unitary Authority,Westerly lowlands (England)
MZKVCB,1978,219,16,Inland Rock,1136.320672,7,ENG,Isle of Wight Unitary Authority,Westerly lowlands (England)
MZKVCB,1978,220,17,Urban,11420.89902,7,ENG,Isle of Wight Unitary Authority,Westerly lowlands (England)
MZKVCB,1978,221,17,Urban,5727.751541,7,ENG,Isle of Wight Unitary Authority,Westerly lowlands (England)
MZKVCB,1978,222,17,Urban,728.8256676,7,ENG,Isle of Wight Unitary Authority,Westerly lowlands (England)
MZKVCB,1978,223,16,Inland Rock,4224.220912,7,ENG,Isle of Wight Unitary Authority,Westerly lowlands (England)
MZKVCB,1978,224,16,Inland Rock,4879.252797,7,ENG,Isle of Wight Unitary Authority,Westerly lowlands (England)
MZKVCB,1978,225,6,Neutral Grassland,32317.9282,7,ENG,Isle of Wight Unitary Authority,Westerly lowlands (England)
MZKVCB,1978,226,6,Neutral Grassland,124932.0596,7,ENG,Isle of Wight Unitary Authority,Westerly lowlands (England)
MZKVCB,1978,227,4,Arable and Horticulture,7562.821041,7,ENG,Isle of Wight Unitary Authority,Westerly lowlands (England)
MZKVCB,1978,228,1,Broadleaved Mixed and Yew Woodland,9260.016425,7,ENG,Isle of Wight Unitary Authority,Westerly lowlands (England)
MZKVCB,1978,229,1,Broadleaved Mixed and Yew Woodland,4531.347588,7,ENG,Isle of Wight Unitary Authority,Westerly lowlands (England)
MZKVCB,1978,230,17,Urban,7349.683695,7,ENG,Isle of Wight Unitary Authority,Westerly lowlands (England)
MZKVCB,1978,231,17,Urban,815.3051954,7,ENG,Isle of Wight Unitary Authority,Westerly lowlands (England)
MZKVCB,1978,232,4,Arable and Horticulture,19859.23487,7,ENG,Isle of Wight Unitary Authority,Westerly lowlands (England)
MZKVCB,1978,233,4,Arable and Horticulture,77137.64347,7,ENG,Isle of Wight Unitary Authority,Westerly lowlands (England)
MZKVCB,1978,234,5,Improved Grassland,53565.09945,7,ENG,Isle of Wight Unitary Authority,Westerly lowlands (England)
MZKVCB,1978,5517,6,Neutral Grassland,3310.903114,7,ENG,Isle of Wight Unitary Authority,Westerly lowlands (England)
ZWKRMA,1978,235,1,Broadleaved Mixed and Yew Woodland,1339.291851,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
ZWKRMA,1978,236,3,Boundary and Linear Features,3685.253072,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
ZWKRMA,1978,237,5,Improved Grassland,4431.603768,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
